name,state,latitude,longitude
Alabama,AL,32.31823,-86.902298
Alaska,AK,66.160507,-153.369141
Arizona,AZ,34.048927,-111.093735
Arkansas,AR,34.799999,-92.199997
California,CA,36.778259,-119.417931
Colorado,CO,39.113014,-105.358887
Connecticut,CT,41.599998,-72.699997
Delaware,DE,39,-75.5
Florida,FL,27.994402,-81.760254
Georgia,GA,33.247875,-83.441162
Hawaii,HI,19.741755,-155.844437
Idaho,ID,44.068203,-114.742043
Illinois,IL,40,-89
Indiana,IN,40.273502,-86.126976
Iowa,IA,42.032974,-93.581543
Kansas,KS,38.5,-98
Kentucky,KY,37.839333,-84.27002
Louisiana,LA,30.39183,-92.329102
Maine,ME,45.367584,-68.972168
Maryland,MD,39.045753,-76.641273
Massachusetts,MA,42.407211,-71.382439
Michigan,MI,44.182205,-84.506836
Minnesota,MN,46.39241,-94.63623
Mississippi,MS,33,-90
Missouri State,MO,38.573936,-92.60376
Montana,MT,46.96526,-109.533691
Nebraska,NE,41.5,-100
Nevada,NV,39.876019,-117.224121
New Hampshire,NH,44,-71.5
New Jersey,NJ,39.833851,-74.871826
New Mexico,NM,34.307144,-106.018066
New York,NY,43,-75
North Carolina,NC,35.782169,-80.793457
North Dakota,ND,47.650589,-100.437012
Ohio,OH,40.367474,-82.996216
Oklahoma,OK,36.084621,-96.921387
Oregon,OR,44,-120.5
Pennsylvania,PA,41.203323,-77.194527
Rhode Island,RI,41.700001,-71.5
South Carolina,SC,33.836082,-81.163727
South Dakota,SD,44.5,-100
Tennessee,TN,35.860119,-86.660156
Texas,TX,31,-100
Utah,UT,39.41922,-111.950684
Vermont,VT,44,-72.699997
Virginia,VA,37.926868,-78.024902
Washington State,WA,47.751076,-120.740135
West Virginia,WV,39,-80.5
Wisconsin,WI,44.5,-89.5
Wyoming,WY,43.07597,-107.290283
